,Unnamed: 0.1,Unnamed: 0,x_min,x_max
0,0,0,1e-05,1.58e-05
1,1,1,1.58e-05,2.51e-05
2,2,2,2.51e-05,3.98e-05
3,3,3,3.98e-05,6.31e-05
4,4,4,6.31e-05,0.0001
5,5,5,0.0001,0.0001585
6,6,6,0.0001585,0.0002512
7,7,7,0.0002512,0.0003981
8,8,8,0.0003981,0.000631
9,9,9,0.000631,0.001
10,10,10,0.001,0.0015849
11,11,11,0.0015849,0.0025119
12,12,12,0.0025119,0.0039811
13,13,13,0.0039811,0.0063096
14,14,14,0.0063096,0.01
15,15,15,0.01,0.0158489
16,16,16,0.0158489,0.0251189
17,17,17,0.0251189,0.0398107
18,18,18,0.0398107,0.0630957
19,19,19,0.0630957,0.1
20,20,20,0.1,0.1584893
21,21,21,0.1584893,0.2511886
22,22,22,0.2511886,0.3981072
23,23,23,0.3981072,0.6309573
24,24,24,0.6309573,1.0
